Player,Inns_batting,NO,Runs_batting,HS,Ave_batting,BF,SR_batting,100,50,0,4s,6s,Inns_bowling,Balls,Overs,Mdns,Runs_bowling,Wkts,BBI,Ave_bowling,Econ,SR_bowling,4,5,Team,Nationality,Matches
DW Lawrence ,12.0,1,281,70,25.54,196.0,143.36,0,1,2,22.0,11.0,6.0,66.0,11.0,0,99.0,2.0,1/15,49.5,9.0,33.0,0,0,DV,England,13.0
EC D'Souza ,4.0,1,30,14,10.00,24.0,125.00,0,0,0,4.0,1.0,,,,,,,,,,,,,SW,U.A.E.,7.0
Fakhar Zaman ,9.0,1,222,71*,27.75,165.0,134.54,0,2,0,20.0,12.0,,,,,,,,,,,,,DV,Pakistan,9.0
Farhan Khan ,1.0,1,2,2*,0,2.0,100.00,0,0,0,0.0,0.0,7.0,94.0,15.4,0,150.0,4.0,1/14,37.5,9.57,23.5,0,0,DC,U.A.E.,7.0
Fazalhaq Farooqi ,,,,,,,,,,,,,11.0,249.0,41.3,0,314.0,21.0,5/16,14.95,7.56,11.85,1,1,MIE,Afghanistan,11.0
Gulbadin Naib ,12.0,3,381,80,42.33,240.0,158.75,0,4,0,26.0,19.0,11.0,139.0,23.1,0,203.0,11.0,3/13,18.45,8.76,12.63,0,0,DC,Afghanistan,12.0
Haider Ali ,1.0,0,0,0,0,0.0,0,0,0,1,0.0,0.0,10.0,138.0,23.0,0,156.0,2.0,1/6,78.0,6.78,69.0,0,0,DC,Pakistan,12.0
Harmeet Singh ,4.0,1,22,11,7.33,30.0,73.33,0,0,0,2.0,0.0,5.0,78.0,13.0,0,83.0,3.0,1/17,27.66,6.38,26.0,0,0,SW,U.S.A.,5.0
Ibrahim Zadran ,4.0,0,45,24,11.25,50.0,90.00,0,0,0,4.0,1.0,,,,,,,,,,,,,GG,Afghanistan,4.0
Ibrar Ahmad ,2.0,2,1,1*,0,3.0,33.33,0,0,0,0.0,0.0,7.0,90.0,15.0,0,161.0,4.0,2/27,40.25,10.73,22.5,0,0,ADKR,U.A.E.,7.0
J Charles ,12.0,0,357,71,29.75,214.0,166.82,0,3,0,34.0,25.0,,,,,,,,,,,,,SW,West Indies,12.0
JJ Roy ,11.0,1,298,73,29.80,256.0,116.40,0,2,1,31.0,5.0,,,,,,,,,,,,,SW,England,12.0
JM Clarke ,8.0,0,172,55,21.50,141.0,121.98,0,1,0,20.0,1.0,,,,,,,,,,,,,ADKR,England,8.0
JM Cox ,10.0,0,186,70,18.60,163.0,114.11,0,1,1,16.0,3.0,,,,,,,,,,,,,GG,England,10.0
JM Vince ,10.0,1,260,86,28.88,188.0,138.29,0,2,0,32.0,3.0,,,,,,,,,,,,,GG,England,10.0
